Member_number,Date,productId,items,productName,price,Category,Revenue,order_id
2775,2015-11-06,23,3,pork,7.2,Fresh Food,21.6,13913
3693,2015-02-18,26,1,berries,10.8,Fresh Food,10.8,8949
1202,2015-07-22,38,2,soda,0.8,Beverages,1.6,11867
3699,2015-08-23,26,1,berries,10.8,Fresh Food,10.8,12538
4152,2015-04-15,12,1,fruit/vegetable juice,2.1,Beverages,2.1,10005
4155,2015-01-26,7,1,citrus fruit,1.5,Fresh Food,1.5,8492
4010,2015-12-29,23,1,pork,7.2,Fresh Food,7.2,14937
4389,2015-10-20,39,3,detergent,5.5,Household & Hygiene,16.5,13627
3746,2015-08-17,40,1,grapes,9.4,Fresh Food,9.4,12408
2560,2015-05-17,19,1,sausage,3.1,Fresh Food,3.1,10626
1503,2015-07-25,10,1,chicken,7.2,Fresh Food,7.2,11928
2555,2015-12-23,2,3,whole milk,1.8,Dairy,5.4,14812
3645,2015-12-12,7,1,citrus fruit,1.5,Fresh Food,1.5,14634
3886,2015-09-11,38,1,soda,0.8,Beverages,0.8,12890
2932,2015-03-20,19,3,sausage,3.1,Fresh Food,9.3,9513
1711,2015-06-18,9,3,frankfurter,5.5,Fresh Food,16.5,11218
4291,2015-12-08,19,3,sausage,3.1,Fresh Food,9.3,14575
1143,2015-04-25,38,1,soda,0.8,Beverages,0.8,10167
4564,2015-07-08,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,11641
3337,2015-05-14,8,3,beef,19.5,Fresh Food,58.5,10560
4931,2015-05-04,2,1,whole milk,1.8,Dairy,1.8,10368
2623,2015-10-10,41,3,processed cheese,6.4,Dairy,19.200000000000003,13421
4581,2015-04-03,1,1,tropical fruit,7.8,Fresh Food,7.8,9783
2635,2015-06-11,9,2,frankfurter,5.5,Fresh Food,11.0,11079
1095,2015-10-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,13794
2990,2015-05-23,2,2,whole milk,1.8,Dairy,3.6,10751
2426,2015-06-05,26,1,berries,10.8,Fresh Food,10.8,10964
4555,2015-11-07,7,3,citrus fruit,1.5,Fresh Food,4.5,13945
3635,2015-09-04,1,1,tropical fruit,7.8,Fresh Food,7.8,12765
3058,2015-05-18,21,2,hamburger meat,12.3,Fresh Food,24.6,10652
4391,2015-03-26,21,1,hamburger meat,12.3,Fresh Food,12.3,9632
1306,2015-06-23,2,3,whole milk,1.8,Dairy,5.4,11327
1024,2015-08-10,42,3,fish,10.2,Fresh Food,30.599999999999998,12250
1295,2015-07-23,9,2,frankfurter,5.5,Fresh Food,11.0,11890
1661,2015-06-01,13,1,packaged fruit/vegetables,3.5,Fresh Food,3.5,10905
4591,2015-05-15,24,3,pastry,3.1,Bakery & Sweets,9.3,10588
3169,2015-06-14,4,2,other vegetables,0.8,Fresh Food,1.6,11141
3915,2015-05-21,28,3,misc. beverages,1.2,Beverages,3.5999999999999996,10718
1127,2015-01-14,9,3,frankfurter,5.5,Fresh Food,16.5,8225
4828,2015-08-08,43,1,sparkling wine,12.5,Beverages,12.5,12235
3683,2015-06-10,15,3,specialty bar,5.2,Bakery & Sweets,15.600000000000001,11064
1971,2015-09-18,19,1,sausage,3.1,Fresh Food,3.1,13000
3014,2015-11-11,31,3,curd cheese,9.2,Dairy,27.599999999999998,14032
3779,2015-09-15,9,2,frankfurter,5.5,Fresh Food,11.0,12958
2489,2015-05-04,2,3,whole milk,1.8,Dairy,5.4,10357
3564,2015-06-27,44,1,newspapers,3.2,Specialty & Seasonal,3.2,11416
4092,2015-09-30,26,1,berries,10.8,Fresh Food,10.8,13244
3221,2015-01-13,45,2,curd,9.8,Dairy,19.6,8212
1279,2015-09-06,1,3,tropical fruit,7.8,Fresh Food,23.4,12786
2581,2015-08-22,38,3,soda,0.8,Beverages,2.4000000000000004,12514
2295,2015-02-25,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,9070
4760,2015-02-22,25,3,canned beer,1.1,Beverages,3.3000000000000003,9017
3649,2015-01-16,25,3,canned beer,1.1,Beverages,3.3000000000000003,8271
1075,2015-11-19,9,1,frankfurter,5.5,Fresh Food,5.5,14167
3987,2015-08-19,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,12451
4106,2015-08-25,2,3,whole milk,1.8,Dairy,5.4,12582
4338,2015-06-24,2,2,whole milk,1.8,Dairy,3.6,11367
4166,2015-11-06,7,2,citrus fruit,1.5,Fresh Food,3.0,13922
1211,2015-03-10,9,1,frankfurter,5.5,Fresh Food,5.5,9329
3954,2015-01-21,9,3,frankfurter,5.5,Fresh Food,16.5,8376
3928,2015-07-18,16,3,butter milk,6.1,Dairy,18.299999999999997,11799
3827,2015-09-30,21,3,hamburger meat,12.3,Fresh Food,36.900000000000006,13241
4699,2015-02-08,46,1,pasta,3.1,Pantry Staples,3.1,8745
4747,2015-06-08,4,1,other vegetables,0.8,Fresh Food,0.8,11042
3028,2015-06-09,19,2,sausage,3.1,Fresh Food,6.2,11049
2851,2015-03-16,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,9439
4417,2015-02-25,40,3,grapes,9.4,Fresh Food,28.200000000000003,9081
3822,2015-03-07,22,3,root vegetables,1.8,Fresh Food,5.4,9285
2288,2015-05-31,27,1,coffee,8.5,Beverages,8.5,10897
2184,2015-06-30,47,3,popcorn,2.4,Bakery & Sweets,7.199999999999999,11474
4554,2015-08-27,2,3,whole milk,1.8,Dairy,5.4,12627
3361,2015-03-05,1,1,tropical fruit,7.8,Fresh Food,7.8,9239
2999,2015-04-17,8,1,beef,19.5,Fresh Food,19.5,10030
2614,2015-06-25,2,3,whole milk,1.8,Dairy,5.4,11379
4064,2015-06-05,9,3,frankfurter,5.5,Fresh Food,16.5,10973
3567,2015-10-04,1,3,tropical fruit,7.8,Fresh Food,23.4,13317
2587,2015-05-07,25,2,canned beer,1.1,Beverages,2.2,10412
3783,2015-06-17,48,2,finished products,6.5,Frozen & Processed Food,13.0,11207
1923,2015-02-14,49,2,beverages,1.1,Beverages,2.2,8860
4835,2015-02-19,21,1,hamburger meat,12.3,Fresh Food,12.3,8970
1514,2015-08-24,2,2,whole milk,1.8,Dairy,3.6,12552
3154,2015-06-22,48,1,finished products,6.5,Frozen & Processed Food,6.5,11317
1313,2015-12-25,4,1,other vegetables,0.8,Fresh Food,0.8,14852
2794,2015-07-18,29,2,ham,15.2,Fresh Food,30.4,11794
2359,2015-04-09,4,2,other vegetables,0.8,Fresh Food,1.6,9883
2238,2015-03-09,45,2,curd,9.8,Dairy,19.6,9315
3795,2015-01-17,50,3,bottled beer,1.8,Beverages,5.4,8291
3724,2015-11-26,45,2,curd,9.8,Dairy,19.6,14322
1152,2015-03-05,2,3,whole milk,1.8,Dairy,5.4,9231
4559,2015-03-16,2,1,whole milk,1.8,Dairy,1.8,9443
3922,2015-02-27,51,3,dessert,1.15,Bakery & Sweets,3.4499999999999997,9121
1709,2015-04-22,19,2,sausage,3.1,Fresh Food,6.2,10120
2219,2015-04-17,4,1,other vegetables,0.8,Fresh Food,0.8,10027
2206,2015-10-17,29,1,ham,15.2,Fresh Food,15.2,13566
1752,2015-04-06,4,1,other vegetables,0.8,Fresh Food,0.8,9826
3942,2015-11-10,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,14013
3296,2015-08-17,38,2,soda,0.8,Beverages,1.6,12403
2257,2015-02-05,37,1,herbs,6.5,Fresh Food,6.5,8680
4313,2015-07-28,9,1,frankfurter,5.5,Fresh Food,5.5,11997
2001,2015-08-21,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,12489
2449,2015-07-08,45,3,curd,9.8,Dairy,29.400000000000002,11629
4914,2015-04-12,9,3,frankfurter,5.5,Fresh Food,16.5,9956
2764,2015-07-24,4,2,other vegetables,0.8,Fresh Food,1.6,11916
4187,2015-05-09,52,3,dog food,12.6,Pet Care,37.8,10464
1392,2015-04-20,15,1,specialty bar,5.2,Bakery & Sweets,5.2,10082
3427,2015-04-28,45,2,curd,9.8,Dairy,19.6,10232
1411,2015-02-20,9,1,frankfurter,5.5,Fresh Food,5.5,8972
3390,2015-11-14,38,1,soda,0.8,Beverages,0.8,14084
4787,2015-08-01,8,3,beef,19.5,Fresh Food,58.5,12082
3310,2015-01-17,25,2,canned beer,1.1,Beverages,2.2,8289
1782,2015-10-10,23,3,pork,7.2,Fresh Food,21.6,13416
3375,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,10192
2760,2015-01-07,19,2,sausage,3.1,Fresh Food,6.2,8104
4249,2015-09-13,25,1,canned beer,1.1,Beverages,1.1,12925
2904,2015-06-06,53,1,specialty chocolate,18.8,Bakery & Sweets,18.8,10987
4090,2015-02-26,45,2,curd,9.8,Dairy,19.6,9104
3060,2015-07-05,25,1,canned beer,1.1,Beverages,1.1,11576
3768,2015-10-07,2,2,whole milk,1.8,Dairy,3.6,13375
1232,2015-01-21,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,8353
1360,2015-10-23,23,3,pork,7.2,Fresh Food,21.6,13663
1107,2015-10-01,7,2,citrus fruit,1.5,Fresh Food,3.0,13251
2865,2015-11-04,6,3,pot plants,3.5,Household & Hygiene,10.5,13877
2958,2015-06-14,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,11139
2448,2015-07-12,11,1,butter,3.2,Dairy,3.2,11698
1222,2015-09-24,54,1,condensed milk,3.5,Dairy,3.5,13108
2943,2015-06-20,19,1,sausage,3.1,Fresh Food,3.1,11276
2270,2015-08-11,2,3,whole milk,1.8,Dairy,5.4,12270
3812,2015-07-21,19,1,sausage,3.1,Fresh Food,3.1,11859
1482,2015-11-22,49,2,beverages,1.1,Beverages,2.2,14227
4720,2015-02-22,49,2,beverages,1.1,Beverages,2.2,9016
1344,2015-09-04,17,2,bottled water,0.5,Beverages,1.0,12752
2397,2015-10-04,44,3,newspapers,3.2,Specialty & Seasonal,9.600000000000001,13313
4182,2015-05-12,55,1,cleaner,11.8,Household & Hygiene,11.8,10528
4487,2015-07-10,19,1,sausage,3.1,Fresh Food,3.1,11676
3467,2015-12-24,44,1,newspapers,3.2,Specialty & Seasonal,3.2,14842
2443,2015-11-15,19,3,sausage,3.1,Fresh Food,9.3,14098
2749,2015-01-27,28,2,misc. beverages,1.2,Beverages,2.4,8505
4389,2015-04-13,56,2,white wine,14.2,Beverages,28.4,9973
1674,2015-12-04,19,1,sausage,3.1,Fresh Food,3.1,14494
4262,2015-10-16,57,2,meat,8.5,Fresh Food,17.0,13555
2082,2015-04-07,9,2,frankfurter,5.5,Fresh Food,11.0,9840
4494,2015-01-06,58,3,ice cream,1.8,Frozen & Processed Food,5.4,8092
2460,2015-09-28,25,3,canned beer,1.1,Beverages,3.3000000000000003,13185
4509,2015-11-29,1,3,tropical fruit,7.8,Fresh Food,23.4,14399
2267,2015-07-03,57,3,meat,8.5,Fresh Food,25.5,11529
4891,2015-09-05,2,1,whole milk,1.8,Dairy,1.8,12785
3962,2015-09-20,19,3,sausage,3.1,Fresh Food,9.3,13043
4964,2015-07-18,9,2,frankfurter,5.5,Fresh Food,11.0,11801
2914,2015-11-30,57,1,meat,8.5,Fresh Food,8.5,14414
2808,2015-05-05,22,2,root vegetables,1.8,Fresh Food,3.6,10378
1085,2015-08-15,22,2,root vegetables,1.8,Fresh Food,3.6,12345
3808,2015-08-18,2,2,whole milk,1.8,Dairy,3.6,12428
4149,2015-01-07,7,3,citrus fruit,1.5,Fresh Food,4.5,8109
2331,2015-06-05,7,3,citrus fruit,1.5,Fresh Food,4.5,10963
4475,2015-04-03,4,1,other vegetables,0.8,Fresh Food,0.8,9781
2761,2015-04-25,7,1,citrus fruit,1.5,Fresh Food,1.5,10173
2620,2015-12-14,19,3,sausage,3.1,Fresh Food,9.3,14661
3206,2015-10-13,9,2,frankfurter,5.5,Fresh Food,11.0,13489
1226,2015-04-13,59,1,hard cheese,4.5,Dairy,4.5,9958
1395,2015-03-07,60,3,cream cheese,6.3,Dairy,18.9,9277
2465,2015-06-07,30,3,turkey,12.5,Fresh Food,37.5,11010
3572,2015-07-09,23,3,pork,7.2,Fresh Food,21.6,11654
4387,2015-05-08,2,2,whole milk,1.8,Dairy,3.6,10445
1555,2015-03-27,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,9642
1181,2015-11-16,19,3,sausage,3.1,Fresh Food,9.3,14113
2814,2015-05-11,58,3,ice cream,1.8,Frozen & Processed Food,5.4,10497
2794,2015-09-16,61,3,liquor,8.5,Beverages,25.5,12966
2912,2015-01-28,3,1,pip fruit,3.0,Fresh Food,3.0,8534
4667,2015-01-12,22,1,root vegetables,1.8,Fresh Food,1.8,8203
2235,2015-10-25,38,3,soda,0.8,Beverages,2.4000000000000004,13703
2353,2015-05-02,38,2,soda,0.8,Beverages,1.6,10318
3449,2015-03-08,19,1,sausage,3.1,Fresh Food,3.1,9303
1058,2015-11-10,22,3,root vegetables,1.8,Fresh Food,5.4,13996
1027,2015-05-17,23,1,pork,7.2,Fresh Food,7.2,10617
3302,2015-05-22,23,1,pork,7.2,Fresh Food,7.2,10735
2229,2015-05-30,14,2,chocolate,11.5,Bakery & Sweets,23.0,10877
2188,2015-08-15,12,3,fruit/vegetable juice,2.1,Beverages,6.300000000000001,12356
1547,2015-04-18,62,3,pickled vegetables,2.7,Fresh Food,8.100000000000001,10037
1649,2015-06-30,17,2,bottled water,0.5,Beverages,1.0,11471
3254,2015-09-10,9,2,frankfurter,5.5,Fresh Food,11.0,12874
2818,2015-11-07,1,3,tropical fruit,7.8,Fresh Food,23.4,13937
2703,2015-05-08,25,3,canned beer,1.1,Beverages,3.3000000000000003,10431
3332,2015-01-31,22,2,root vegetables,1.8,Fresh Food,3.6,8594
2473,2015-07-01,57,1,meat,8.5,Fresh Food,8.5,11494
2810,2015-12-30,9,1,frankfurter,5.5,Fresh Food,5.5,14952
1033,2015-04-22,1,2,tropical fruit,7.8,Fresh Food,15.6,10118
4222,2015-05-27,1,1,tropical fruit,7.8,Fresh Food,7.8,10828
3679,2015-09-21,7,2,citrus fruit,1.5,Fresh Food,3.0,13056
2212,2015-08-27,21,1,hamburger meat,12.3,Fresh Food,12.3,12616
1507,2015-06-22,10,1,chicken,7.2,Fresh Food,7.2,11309
2870,2015-01-21,10,3,chicken,7.2,Fresh Food,21.6,8365
3429,2015-04-26,9,3,frankfurter,5.5,Fresh Food,16.5,10193
4148,2015-04-09,25,1,canned beer,1.1,Beverages,1.1,9892
2970,2015-12-30,30,1,turkey,12.5,Fresh Food,12.5,14953
2013,2015-08-30,13,3,packaged fruit/vegetables,3.5,Fresh Food,10.5,12671
3967,2015-05-30,46,3,pasta,3.1,Pantry Staples,9.3,10885
2885,2015-05-15,7,3,citrus fruit,1.5,Fresh Food,4.5,10583
3935,2015-07-02,19,2,sausage,3.1,Fresh Food,6.2,11519
3283,2015-05-01,2,1,whole milk,1.8,Dairy,1.8,10294
3268,2015-11-06,25,3,canned beer,1.1,Beverages,3.3000000000000003,13914
3677,2015-04-30,7,1,citrus fruit,1.5,Fresh Food,1.5,10277
3495,2015-06-27,63,2,liquor (appetizer),11.2,Beverages,22.4,11415
1410,2015-10-04,7,2,citrus fruit,1.5,Fresh Food,3.0,13306
2440,2015-06-06,19,3,sausage,3.1,Fresh Food,9.3,10984
4088,2015-01-13,10,2,chicken,7.2,Fresh Food,14.4,8219
2469,2015-09-23,21,1,hamburger meat,12.3,Fresh Food,12.3,13092
4229,2015-03-06,19,3,sausage,3.1,Fresh Food,9.3,9273
2728,2015-08-02,8,1,beef,19.5,Fresh Food,19.5,12094
4694,2015-01-25,7,1,citrus fruit,1.5,Fresh Food,1.5,8469
2836,2015-12-29,64,2,UHT-milk,2.1,Dairy,4.2,14931
1311,2015-02-12,65,2,candy,3.6,Bakery & Sweets,7.2,8817
1760,2015-01-23,44,2,newspapers,3.2,Specialty & Seasonal,6.4,8414
3656,2015-03-02,8,2,beef,19.5,Fresh Food,39.0,9194
3720,2015-05-28,19,2,sausage,3.1,Fresh Food,6.2,10847
2996,2015-09-26,9,3,frankfurter,5.5,Fresh Food,16.5,13157
1949,2015-07-22,25,1,canned beer,1.1,Beverages,1.1,11870
4498,2015-02-11,50,1,bottled beer,1.8,Beverages,1.8,8813
2447,2015-12-28,66,1,onions,1.3,Fresh Food,1.3,14909
1952,2015-03-23,1,1,tropical fruit,7.8,Fresh Food,7.8,9568
4099,2015-01-27,17,2,bottled water,0.5,Beverages,1.0,8515
1804,2015-03-12,8,1,beef,19.5,Fresh Food,19.5,9364
1510,2015-05-16,19,3,sausage,3.1,Fresh Food,9.3,10597
2879,2015-04-18,67,3,hair spray,5.4,Personal Care,16.200000000000003,10048
4899,2015-03-12,10,1,chicken,7.2,Fresh Food,7.2,9373
4326,2015-09-29,23,1,pork,7.2,Fresh Food,7.2,13220
1670,2015-05-17,58,3,ice cream,1.8,Frozen & Processed Food,5.4,10622
1117,2015-05-24,57,3,meat,8.5,Fresh Food,25.5,10758
1346,2015-04-03,4,2,other vegetables,0.8,Fresh Food,1.6,9769
1178,2015-11-15,17,3,bottled water,0.5,Beverages,1.5,14093
1649,2015-06-25,1,2,tropical fruit,7.8,Fresh Food,15.6,11371
4651,2015-06-21,68,2,photo/film,11.9,Household & Hygiene,23.8,11306
4243,2015-04-02,19,2,sausage,3.1,Fresh Food,6.2,9763
4429,2015-07-21,40,2,grapes,9.4,Fresh Food,18.8,11863
4645,2015-07-25,69,2,domestic eggs,1.25,Fresh Food,2.5,11943
4019,2015-07-24,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,11923
4459,2015-04-26,1,3,tropical fruit,7.8,Fresh Food,23.4,10200
3006,2015-12-27,10,2,chicken,7.2,Fresh Food,14.4,14892
1834,2015-09-17,9,3,frankfurter,5.5,Fresh Food,16.5,12982
3236,2015-07-04,26,3,berries,10.8,Fresh Food,32.400000000000006,11555
1765,2015-03-11,70,2,margarine,3.5,Pantry Staples,7.0,9349
3855,2015-03-09,1,1,tropical fruit,7.8,Fresh Food,7.8,9324
4392,2015-11-28,29,2,ham,15.2,Fresh Food,30.4,14373
3330,2015-07-26,21,1,hamburger meat,12.3,Fresh Food,12.3,11951
1723,2015-09-02,18,3,yogurt,2.2,Dairy,6.6000000000000005,12711
4110,2015-03-30,38,1,soda,0.8,Beverages,0.8,9702
2600,2015-01-28,18,1,yogurt,2.2,Dairy,2.2,8532
2946,2015-10-07,38,1,soda,0.8,Beverages,0.8,13372
2426,2015-09-08,17,3,bottled water,0.5,Beverages,1.5,12830
4170,2015-05-03,19,3,sausage,3.1,Fresh Food,9.3,10350
1109,2015-04-06,7,1,citrus fruit,1.5,Fresh Food,1.5,9821
3429,2015-01-04,71,1,shopping bags,5.12,Household & Hygiene,5.12,8042
2055,2015-02-04,44,2,newspapers,3.2,Specialty & Seasonal,6.4,8663
2480,2015-09-20,9,1,frankfurter,5.5,Fresh Food,5.5,13036
2441,2015-05-30,19,2,sausage,3.1,Fresh Food,6.2,10879
1054,2015-10-04,9,1,frankfurter,5.5,Fresh Food,5.5,13304
4818,2015-01-11,72,2,salt,0.7,Pantry Staples,1.4,8190
3379,2015-01-21,73,3,oil,3.4,Pantry Staples,10.2,8373
3939,2015-02-10,45,1,curd,9.8,Dairy,9.8,8785
1367,2015-08-05,4,1,other vegetables,0.8,Fresh Food,0.8,12158
1043,2015-01-10,7,1,citrus fruit,1.5,Fresh Food,1.5,8153
2231,2015-10-17,9,1,frankfurter,5.5,Fresh Food,5.5,13567
3235,2015-12-28,22,2,root vegetables,1.8,Fresh Food,3.6,14916
4554,2015-07-16,1,1,tropical fruit,7.8,Fresh Food,7.8,11768
3245,2015-01-24,8,3,beef,19.5,Fresh Food,58.5,8437
2996,2015-05-19,26,3,berries,10.8,Fresh Food,32.400000000000006,10679
2507,2015-01-05,25,1,canned beer,1.1,Beverages,1.1,8057
4186,2015-10-25,74,3,whipped/sour cream,5.5,Dairy,16.5,13713
3929,2015-04-28,22,1,root vegetables,1.8,Fresh Food,1.8,10236
3760,2015-11-22,2,1,whole milk,1.8,Dairy,1.8,14240
4928,2015-08-18,8,3,beef,19.5,Fresh Food,58.5,12437
4217,2015-12-18,75,1,frozen vegetables,2.5,Frozen & Processed Food,2.5,14747
1174,2015-02-11,5,3,rolls/buns,1.2,Bakery & Sweets,3.5999999999999996,8796
4103,2015-06-19,2,2,whole milk,1.8,Dairy,3.6,11260
4408,2015-03-13,2,1,whole milk,1.8,Dairy,1.8,9393
2588,2015-12-28,7,2,citrus fruit,1.5,Fresh Food,3.0,14910
2598,2015-11-11,24,3,pastry,3.1,Bakery & Sweets,9.3,14029
1518,2015-12-11,9,2,frankfurter,5.5,Fresh Food,11.0,14606
2702,2015-04-08,1,2,tropical fruit,7.8,Fresh Food,15.6,9866
1001,2015-01-20,9,3,frankfurter,5.5,Fresh Food,16.5,8336
2270,2015-09-30,26,2,berries,10.8,Fresh Food,21.6,13233
2838,2015-11-10,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,14006
1683,2015-05-26,22,3,root vegetables,1.8,Fresh Food,5.4,10795
4040,2015-04-03,18,2,yogurt,2.2,Dairy,4.4,9778
