Member_number,Recency,Frequency,Monetary,Cluster
1620,132,5,160.1,Loyal
2599,38,4,160.1,Loyal
4825,45,6,160.0,VIP
4321,64,6,159.6,VIP
1404,241,5,159.5,Loyal
3926,132,6,159.42,VIP
4576,104,4,159.4,Loyal
1708,2,4,159.4,Loyal
2713,134,5,159.3,Loyal
2093,201,6,159.3,VIP
1999,128,4,159.24,Loyal
2499,38,5,159.22,Loyal
4667,127,8,159.0,VIP
3682,79,6,158.98,VIP
2348,19,6,158.91,VIP
2600,14,7,158.9,VIP
3517,19,8,158.74,VIP
3608,33,4,158.66,Loyal
1827,182,9,158.6,VIP
4453,129,8,158.6,VIP
2365,192,5,158.6,Loyal
3663,40,8,158.5,VIP
3847,27,5,158.1,Loyal
4708,89,5,157.8,Loyal
1931,82,6,157.7,VIP
3547,32,3,157.69,Loyal
2645,186,8,157.6,VIP
1146,109,7,157.52,VIP
4155,97,6,157.5,VIP
2723,57,4,157.5,Loyal
2573,361,5,157.4,Loyal
1116,31,8,157.4,VIP
4261,317,5,157.25,Loyal
2435,92,5,157.05,Loyal
4364,6,9,157.05,VIP
2031,307,4,157.0,Loyal
1235,215,8,156.98,VIP
1737,116,6,156.95,VIP
4721,177,8,156.9,VIP
2363,66,4,156.6,Loyal
3509,175,4,156.6,Loyal
4585,93,5,156.55,Loyal
4028,175,4,156.5,Loyal
2209,88,5,156.4,Loyal
2765,30,5,156.25,Loyal
1241,222,4,156.22,Loyal
3082,96,10,156.15,VIP
4468,198,4,156.1,Loyal
3898,131,4,156.0,Loyal
2142,188,5,156.0,Loyal
1231,64,7,156.0,VIP
4745,6,7,155.98,VIP
1008,88,2,155.9,Loyal
1110,40,7,155.9,VIP
2578,29,7,155.76,VIP
2232,238,5,155.7,Loyal
1682,59,7,155.66,VIP
2787,189,6,155.6,VIP
2164,36,9,155.6,VIP
3560,92,7,155.6,VIP
1706,138,4,155.0,Loyal
1832,43,6,154.75,VIP
3856,272,6,154.6,Loyal
3956,376,6,154.44,Loyal
4759,313,2,154.35,Loyal
1296,37,6,154.34,VIP
2374,190,5,154.3,Loyal
3398,294,4,154.3,Loyal
4947,42,5,154.25,Loyal
2400,283,4,154.15,Loyal
2584,249,8,153.97,VIP
4566,122,6,153.96,VIP
4526,128,9,153.76,VIP
1197,38,6,153.6,VIP
2957,33,7,153.56,VIP
1373,164,3,153.4,Loyal
2961,44,6,153.36,VIP
1534,139,4,153.31,Loyal
3148,277,4,153.16,Loyal
4524,4,8,153.0,VIP
2648,52,5,152.7,Loyal
1275,73,10,152.56,VIP
4694,42,8,152.54,VIP
2814,70,7,152.42,VIP
1422,87,7,152.4,VIP
4018,43,7,152.1,VIP
3603,334,4,152.04,Loyal
4788,246,5,152.02,Loyal
3276,183,4,151.8,Loyal
1504,30,5,151.7,Loyal
1646,124,7,151.66,VIP
4002,118,6,151.55,VIP
4967,98,5,151.4,Loyal
2100,78,6,151.14,VIP
3393,53,6,151.14,VIP
4312,16,5,151.06,Loyal
1624,8,3,151.0,Loyal
1621,313,5,150.72,Loyal
4215,183,4,150.7,Loyal
4548,153,7,150.7,VIP
3812,47,8,150.65,VIP
4864,26,10,150.58,VIP
3287,331,4,150.45,Loyal
3545,30,4,150.4,Loyal
2421,38,7,150.3,VIP
2466,81,4,150.2,Loyal
1997,2,6,150.12,VIP
4045,8,4,149.9,Loyal
3322,80,6,149.8,VIP
1094,113,8,149.79,VIP
4773,51,7,149.5,VIP
3621,58,7,149.45,VIP
2952,35,5,149.36,Loyal
2612,213,7,149.25,VIP
3692,73,5,149.1,Loyal
1061,116,5,149.1,Loyal
1133,149,5,148.94,Loyal
3472,244,3,148.8,Loyal
2144,359,5,148.6,Loyal
2547,36,5,148.6,Loyal
2835,82,7,148.52,VIP
1509,0,6,148.4,VIP
3389,135,5,148.4,Loyal
2045,23,7,148.4,VIP
4044,29,4,148.4,Loyal
4734,38,3,148.3,Loyal
3077,121,6,148.01,Loyal
3783,191,7,148.0,VIP
1602,123,7,148.0,VIP
3558,102,4,148.0,Loyal
3511,45,7,147.94,VIP
3701,247,4,147.68,Loyal
4877,54,6,147.41,Loyal
3438,3,6,147.35,VIP
2383,86,5,147.29,Loyal
3207,34,4,147.2,Loyal
3948,198,5,147.02,Loyal
3582,196,6,146.61,Loyal
1865,27,6,146.6,Loyal
1329,221,5,146.6,Loyal
1229,285,3,146.4,Loyal
4778,128,5,146.4,Loyal
3518,65,6,146.35,Loyal
2117,53,3,146.28,Loyal
4388,285,4,146.25,Loyal
3175,37,6,146.2,Loyal
2069,181,5,146.1,Loyal
3194,241,6,145.8,Loyal
1566,41,9,145.76,VIP
4297,64,8,145.52,VIP
4685,56,6,145.5,Loyal
1659,30,7,145.5,VIP
1333,99,6,145.5,Loyal
2602,19,6,145.44,Loyal
1811,98,7,145.3,VIP
2654,35,6,145.3,Loyal
2056,36,6,145.23,Loyal
3090,56,9,145.22,VIP
1283,47,7,145.2,VIP
4851,10,5,145.2,Loyal
4030,8,5,145.05,Loyal
1264,23,6,145.0,Loyal
4953,81,4,144.9,Loyal
2997,0,5,144.87,Loyal
3774,13,4,144.7,Loyal
3072,205,5,144.65,Loyal
3508,137,7,144.61,VIP
2745,245,6,144.6,Loyal
4275,110,5,144.6,Loyal
3507,50,7,144.4,VIP
1120,95,6,144.39,Loyal
3101,13,6,144.1,Loyal
2854,325,4,144.02,Loyal
4807,195,6,144.0,Loyal
3071,200,4,143.85,Loyal
4391,279,6,143.84,Loyal
3727,225,5,143.8,Loyal
2582,46,2,143.8,Loyal
4267,81,6,143.7,Loyal
4442,32,5,143.7,Loyal
3688,68,3,143.66,Loyal
4424,75,3,143.65,Loyal
4681,110,4,143.62,Loyal
1484,84,3,143.6,Loyal
3266,66,7,143.55,VIP
2369,74,4,143.5,Loyal
3505,80,6,143.2,Loyal
3045,279,4,143.15,Loyal
2836,1,5,143.12,Loyal
2454,50,7,143.1,VIP
4557,72,4,143.0,Loyal
4024,75,6,142.9,Loyal
4592,22,6,142.9,Loyal
4325,77,4,142.7,Loyal
4564,56,6,142.26,Loyal
3410,62,7,142.24,VIP
1839,82,5,142.2,Loyal
1204,160,7,142.1,VIP
2403,29,4,142.1,Loyal
3803,7,6,142.05,Loyal
2272,116,6,142.0,Loyal
1584,173,5,141.95,Loyal
2592,90,6,141.94,Loyal
3337,203,5,141.86,Loyal
2244,276,6,141.8,Loyal
3002,139,5,141.6,Loyal
4797,179,5,141.6,Loyal
4916,304,5,141.5,Loyal
3116,385,5,141.4,Loyal
4445,29,6,141.2,Loyal
1894,88,4,141.2,Loyal
1943,91,5,140.86,Loyal
1322,72,4,140.64,Loyal
3829,150,3,140.6,Loyal
2687,107,4,140.6,Loyal
2293,11,8,140.56,VIP
4541,256,4,140.4,Loyal
3718,73,6,140.4,Loyal
1821,223,3,140.2,Loyal
3571,19,6,140.2,Loyal
2964,141,5,140.2,Loyal
4832,27,5,140.02,Loyal
2040,84,6,140.0,Loyal
3809,281,4,139.9,Loyal
2018,127,5,139.6,Loyal
3881,267,5,139.55,Loyal
1341,61,4,139.4,Loyal
1457,355,6,139.4,Loyal
2399,321,5,139.3,Loyal
2042,41,6,139.24,Loyal
3102,26,4,139.22,Loyal
4661,234,7,139.1,Loyal
3741,39,4,139.1,Loyal
1239,121,7,139.0,VIP
3819,185,2,138.8,Loyal
4972,327,6,138.7,Loyal
3526,126,5,138.63,Loyal
2375,21,5,138.6,Loyal
1081,241,5,138.6,Loyal
3481,87,4,138.4,Loyal
4202,28,6,138.4,Loyal
4301,10,4,138.26,Loyal
2289,56,7,137.84,VIP
4746,21,6,137.8,Loyal
1416,130,6,137.7,Loyal
2066,223,4,137.7,Loyal
2310,281,4,137.68,Loyal
4951,36,6,137.6,Loyal
3670,378,4,137.55,Loyal
1939,61,5,137.52,Loyal
4092,91,4,137.5,Loyal
3498,274,4,137.5,Loyal
3170,27,3,137.4,Loyal
3677,30,5,137.15,Loyal
4262,75,7,137.1,VIP
2432,18,7,137.0,VIP
1917,154,5,137.0,Loyal
3904,233,3,137.0,Loyal
3469,224,5,137.0,Loyal
1327,143,8,136.92,VIP
1157,452,2,136.9,Dormant
4131,276,4,136.8,Loyal
2484,140,5,136.75,Loyal
3427,246,4,136.7,Loyal
3844,104,7,136.6,Loyal
3841,164,6,136.38,Loyal
3292,108,3,136.2,Loyal
1542,145,6,136.2,Loyal
1165,1,4,136.2,Loyal
1561,158,7,136.15,Loyal
3687,8,5,136.09,Loyal
4222,3,4,135.99,Loyal
4574,30,6,135.9,Loyal
3347,208,5,135.8,Loyal
2494,118,4,135.8,Loyal
4082,243,5,135.7,Loyal
1623,58,5,135.7,Loyal
2254,340,5,135.7,Loyal
4299,138,6,135.69,Loyal
3489,42,5,135.6,Loyal
2760,144,9,135.4,VIP
4988,10,5,135.4,Loyal
4108,94,5,135.35,Loyal
3782,330,7,135.34,Loyal
4335,25,7,135.32,VIP
2944,332,4,135.3,Loyal
1798,363,8,135.2,VIP
1948,127,6,135.15,Loyal
4550,51,6,135.1,Loyal
3414,68,4,135.0,Loyal
3749,296,4,134.98,Loyal
4572,62,5,134.8,Loyal
2437,45,5,134.7,Loyal
3942,50,8,134.61,VIP
4418,87,4,134.6,Loyal
2252,83,6,134.57,Loyal
4356,29,3,134.5,Loyal
2595,341,5,134.45,Loyal
4056,71,6,134.45,Loyal
2340,32,7,134.4,VIP
2028,10,6,134.29,Loyal
3963,104,5,134.25,Loyal
3522,98,2,134.2,Loyal
4567,89,6,134.0,Loyal
2784,47,5,133.95,Loyal
3617,257,5,133.9,Loyal
2415,144,4,133.9,Loyal
4992,193,4,133.9,Loyal
4820,23,7,133.8,VIP
4633,135,4,133.8,Loyal
2771,126,3,133.7,Loyal
1733,190,4,133.6,Loyal
4138,81,5,133.39,Loyal
2849,36,5,133.35,Loyal
4441,51,6,133.3,Loyal
2978,35,5,133.3,Loyal
1144,76,7,133.25,Loyal
1817,131,5,133.2,Loyal
3878,155,5,133.0,Loyal
2785,73,5,132.96,Loyal
4006,12,4,132.81,Loyal
3186,35,5,132.8,Loyal
2540,300,6,132.7,Loyal
2769,152,5,132.63,Loyal
3325,31,5,132.62,Loyal
1619,62,4,132.61,Loyal
3144,136,4,132.52,Loyal
3743,238,6,132.5,Loyal
3679,7,6,132.39,Loyal
4104,30,7,132.35,Loyal
3268,54,7,132.27,Loyal
1726,4,5,132.1,Loyal
1342,314,5,132.05,Loyal
1616,22,6,132.0,Loyal
3166,246,6,131.8,Loyal
3843,74,4,131.8,Loyal
3181,17,6,131.7,Loyal
4156,149,4,131.64,Loyal
3557,163,4,131.63,Loyal
3450,6,7,131.56,Loyal
1356,113,4,131.44,Loyal
2284,287,4,131.4,Loyal
2747,122,6,131.3,Loyal
4252,264,3,131.16,Loyal
3025,72,4,131.0,Loyal
3497,36,5,131.0,Loyal
4288,47,5,131.0,Loyal
1540,34,4,130.9,Loyal
4258,19,5,130.7,Loyal
1225,224,7,130.6,Loyal
1507,191,5,130.6,Loyal
4266,152,5,130.5,Loyal
4163,214,6,130.5,Loyal
3258,224,6,130.34,Loyal
4503,11,5,130.3,Loyal
3284,41,7,130.2,Loyal
2523,179,5,130.06,Loyal
4124,112,7,130.05,Loyal
4211,470,5,130.0,Dormant
2676,53,5,129.9,Loyal
2825,1,5,129.9,Loyal
3128,122,4,129.8,Loyal
1027,227,4,129.7,Loyal
4277,24,7,129.66,Loyal
4129,53,7,129.64,Loyal
4525,84,6,129.4,Loyal
1107,90,8,129.38,VIP
4337,65,3,129.34,Loyal
1062,103,5,129.32,Loyal
2452,141,3,129.16,Loyal
4692,64,4,129.0,Loyal
2356,121,5,129.0,Loyal
3685,126,3,128.95,Loyal
3500,162,5,128.95,Loyal
4095,1,3,128.9,Loyal
4637,230,5,128.9,Loyal
2215,34,7,128.8,Loyal
4427,333,5,128.7,Loyal
4485,158,4,128.55,Loyal
4515,198,7,128.5,Loyal
4340,5,6,128.5,Loyal
3232,12,7,128.45,Loyal
2315,10,7,128.42,Loyal
2186,120,6,128.25,Loyal
4169,36,6,128.2,Loyal
3081,463,5,128.03,Dormant
1606,49,4,128.0,Loyal
2194,208,5,127.91,Loyal
1758,307,3,127.84,Loyal
2757,14,3,127.8,Loyal
1759,95,3,127.8,Loyal
2311,59,6,127.7,Loyal
2504,138,5,127.7,Loyal
4546,118,4,127.7,Loyal
1878,33,9,127.61,VIP
2061,3,4,127.6,Loyal
3354,31,6,127.6,Loyal
1500,284,6,127.52,Loyal
2860,10,6,127.48,Loyal
4780,102,7,127.22,Loyal
1668,131,4,127.2,Loyal
4194,233,6,127.2,Loyal
4880,475,2,127.1,Dormant
3504,55,4,127.08,Loyal
3294,180,6,127.05,Loyal
4164,461,4,127.05,Dormant
2160,85,6,126.96,Loyal
4160,140,6,126.92,Loyal
1929,173,7,126.9,Loyal
2617,222,7,126.85,Loyal
2475,50,6,126.8,Loyal
4107,45,4,126.65,Loyal
3954,323,2,126.5,Dormant
1783,176,6,126.24,Loyal
4182,131,6,126.1,Loyal
1853,213,4,126.1,Loyal
1289,52,4,125.9,Loyal
1740,404,7,125.8,Loyal
1690,131,6,125.8,Loyal
4776,66,4,125.7,Loyal
2507,0,4,125.6,Loyal
1703,312,3,125.6,Loyal
2692,82,3,125.6,Loyal
4718,117,3,125.49,Loyal
3903,85,6,125.4,Loyal
2950,81,6,125.34,Loyal
2597,137,7,125.25,Loyal
3613,86,4,125.24,Loyal
3769,306,4,125.15,Loyal
3910,12,4,125.14,Loyal
4569,156,3,125.14,Loyal
1242,16,6,125.11,Loyal
1768,117,7,125.01,Loyal
4110,32,6,124.95,Loyal
4938,20,6,124.87,Loyal
1523,277,3,124.75,Loyal
3297,223,5,124.7,Loyal
4117,20,6,124.64,Loyal
1050,240,6,124.6,Loyal
3655,317,2,124.6,Dormant
1753,131,7,124.5,Loyal
1286,140,7,124.45,Loyal
1347,106,4,124.4,Loyal
2465,3,2,124.3,Loyal
1343,59,4,124.22,Loyal
1126,227,3,124.2,Loyal
4073,58,5,124.2,Loyal
4223,84,7,124.2,Loyal
4719,2,7,124.1,Loyal
2907,376,7,124.05,Loyal
4580,31,2,124.02,Loyal
3539,340,6,124.0,Loyal
2580,43,5,124.0,Loyal
1213,107,3,123.7,Loyal
1269,91,5,123.62,Loyal
3054,185,7,123.6,Loyal
4853,87,5,123.6,Loyal
2707,73,7,123.56,Loyal
4362,172,6,123.55,Loyal
2534,52,6,123.52,Loyal
3460,36,4,123.5,Loyal
3137,128,8,123.5,Loyal
3041,106,5,123.49,Loyal
1497,81,4,123.42,Loyal
3360,46,3,123.4,Loyal
3683,25,5,123.12,Loyal
3042,3,7,123.1,Loyal
3863,200,6,122.92,Loyal
4191,57,6,122.8,Loyal
4760,272,4,122.7,Loyal
3298,218,4,122.7,Loyal
3900,10,5,122.64,Loyal
4736,162,4,122.6,Loyal
1501,135,4,122.6,Loyal
2303,518,3,122.6,Dormant
4336,81,6,122.5,Loyal
2167,22,4,122.4,Loyal
3794,34,4,122.4,Loyal
4643,28,6,122.15,Loyal
3911,129,6,122.04,Loyal
2510,92,4,121.8,Loyal
2672,34,5,121.8,Loyal
4448,358,5,121.7,Loyal
1692,185,6,121.65,Loyal
3814,162,3,121.64,Loyal
2307,184,4,121.62,Loyal
2850,278,4,121.6,Loyal
3549,151,8,121.6,Loyal
4623,175,7,121.4,Loyal
4886,338,4,121.31,Loyal
1209,414,4,121.29,Dormant
2321,197,4,121.2,Loyal
4968,47,3,121.2,Loyal
2338,22,3,121.2,Loyal
1114,173,6,121.12,Loyal
4179,284,3,121.1,Loyal
1823,33,3,120.9,Loyal
1549,287,3,120.85,Loyal
2336,84,4,120.84,Loyal
3044,92,7,120.62,Loyal
2157,62,4,120.56,Loyal
1971,103,3,120.55,Loyal
4190,3,9,120.49,VIP
1294,373,5,120.4,Loyal
3597,17,3,120.3,Loyal
3818,13,5,120.2,Loyal
3328,76,4,120.12,Loyal
3689,154,4,120.1,Loyal
3835,105,7,120.05,Loyal
3967,37,7,119.99,Loyal
